_Population	F2
_Genotypes	200 0.1
_Observations	200
_Environments	no
_Replications	no
_TraitNumber	1
_TotalMarker	300	S
_MarkerCode	P1=A P2=B F1=H F1P1=C F1P2=D

*MarkerBegin*
_Genotype	MK1	MK2	MK3	MK4	MK5	MK6	MK7	MK8	MK9	MK10	MK11	MK12	MK13	MK14	MK15	MK16	MK17	MK18	MK19	MK20	MK21	MK22	MK23	MK24	MK25	MK26	MK27	MK28	MK29	MK30	MK31	MK32	MK33	MK34	MK35	MK36	MK37	MK38	MK39	MK40	MK41	MK42	MK43	MK44	MK45	MK46	MK47	MK48	MK49	MK50	MK51	MK52	MK53	MK54	MK55	MK56	MK57	MK58	MK59	MK60	MK61	MK62	MK63	MK64	MK65	MK66	MK67	MK68	MK69	MK70	MK71	MK72	MK73	MK74	MK75	MK76	MK77	MK78	MK79	MK80	MK81	MK82	MK83	MK84	MK85	MK86	MK87	MK88	MK89	MK90	MK91	MK92	MK93	MK94	MK95	MK96	MK97	MK98	MK99	MK100	MK101	MK102	MK103	MK104	MK105	MK106	MK107	MK108	MK109	MK110	MK111	MK112	MK113	MK114	MK115	MK116	MK117	MK118	MK119	MK120	MK121	MK122	MK123	MK124	MK125	MK126	MK127	MK128	MK129	MK130	MK131	MK132	MK133	MK134	MK135	MK136	MK137	MK138	MK139	MK140	MK141	MK142	MK143	MK144	MK145	MK146	MK147	MK148	MK149	MK150	MK151	MK152	MK153	MK154	MK155	MK156	MK157	MK158	MK159	MK160	MK161	MK162	MK163	MK164	MK165	MK166	MK167	MK168	MK169	MK170	MK171	MK172	MK173	MK174	MK175	MK176	MK177	MK178	MK179	MK180	MK181	MK182	MK183	MK184	MK185	MK186	MK187	MK188	MK189	MK190	MK191	MK192	MK193	MK194	MK195	MK196	MK197	MK198	MK199	MK200	MK201	MK202	MK203	MK204	MK205	MK206	MK207	MK208	MK209	MK210	MK211	MK212	MK213	MK214	MK215	MK216	MK217	MK218	MK219	MK220	MK221	MK222	MK223	MK224	MK225	MK226	MK227	MK228	MK229	MK230	MK231	MK232	MK233	MK234	MK235	MK236	MK237	MK238	MK239	MK240	MK241	MK242	MK243	MK244	MK245	MK246	MK247	MK248	MK249	MK250	MK251	MK252	MK253	MK254	MK255	MK256	MK257	MK258	MK259	MK260	MK261	MK262	MK263	MK264	MK265	MK266	MK267	MK268	MK269	MK270	MK271	MK272	MK273	MK274	MK275	MK276	MK277	MK278	MK279	MK280	MK281	MK282	MK283	MK284	MK285	MK286	MK287	MK288	MK289	MK290	MK291	MK292	MK293	MK294	MK295	MK296	MK297	MK298	MK299	MK300	;
32	A	H	A	A	A	A	A	H	H	B	H	A	A	A	A	H	A	A	A	H	B	A	A	H	H	A	A	H	A	H	H	H	A	B	B	A	H	B	A	H	A	H	A	A	H	H	H	H	B	A	H	A	H	A	B	A	A	A	A	A	A	H	B	A	H	A	B	H	A	A	H	A	H	H	A	H	A	A	H	H	A	H	H	A	A	A	H	A	A	A	H	H	H	A	A	A	A	A	A	H	H	H	H	A	A	A	A	A	A	H	A	H	H	A	H	A	H	A	A	A	H	A	H	A	H	B	A	A	A	H	A	H	A	A	H	H	A	A	A	B	H	A	H	A	A	A	A	A	H	H	A	A	A	H	H	A	A	A	A	H	B	A	A	A	A	B	H	A	H	A	A	H	A	A	B	A	A	A	A	A	H	H	H	H	H	A	B	A	H	H	A	A	H	A	A	A	H	H	A	H	A	A	A	H	H	B	A	A	B	A	H	H	A	A	H	A	A	A	A	H	A	A	A	B	A	H	A	A	A	H	A	B	A	A	B	H	A	H	A	A	A	H	H	H	A	A	A	H	B	A	A	H	H	A	H	A	A	A	A	H	A	A	A	H	H	A	A	A	A	H	H	H	H	A	A	H	A	H	A	A	A	A	H	A	A	A	H	A	A	H	A	A	A	A	A	H	A	A	A	A	;
33	A	A	B	A	A	H	H	A	H	H	A	A	H	H	A	H	B	B	B	B	H	A	H	A	H	A	H	H	H	B	H	H	B	H	B	B	H	H	H	A	A	H	H	A	B	H	B	A	A	A	A	A	A	A	H	B	A	H	A	A	A	H	A	A	A	A	B	A	A	A	A	A	H	A	H	A	A	A	A	B	A	H	A	H	A	H	A	A	A	H	B	B	B	A	A	H	H	H	A	H	H	H	A	H	A	A	H	H	H	A	A	A	H	H	H	A	A	A	A	H	A	A	A	H	A	A	A	A	A	H	B	A	A	H	A	H	A	H	H	H	A	H	H	H	A	A	A	A	H	H	A	A	A	A	H	A	A	H	A	A	H	H	H	A	H	H	A	A	B	A	B	H	A	H	B	B	H	H	H	A	H	H	A	B	H	H	H	A	H	H	A	A	H	A	H	A	H	H	A	H	A	A	A	H	B	A	A	A	A	A	B	H	B	A	A	A	A	H	H	H	H	A	A	A	H	H	H	H	H	A	B	B	B	H	A	H	A	H	A	H	H	B	A	H	A	H	A	A	A	A	A	A	A	H	A	A	H	B	A	A	A	A	A	A	A	A	A	H	A	A	H	H	B	H	A	A	A	A	A	A	H	A	A	A	A	A	A	A	H	A	H	A	H	H	A	H	A	B	A	A	;
34	B	H	B	A	B	A	A	H	H	H	A	H	A	H	A	B	H	H	H	H	A	A	H	A	A	A	H	A	A	H	A	A	H	H	H	H	H	H	B	A	H	A	A	A	H	H	H	H	A	H	B	A	H	A	B	H	A	A	A	A	H	H	A	H	A	A	B	H	A	A	A	A	B	H	H	H	A	H	A	B	A	H	A	A	H	H	A	A	A	B	A	A	A	A	H	A	H	H	A	A	A	A	H	A	A	A	H	A	A	A	A	A	A	B	H	A	H	H	A	H	A	B	H	A	H	A	A	A	A	H	H	A	A	A	A	A	A	A	A	H	B	H	A	H	B	B	H	A	A	A	A	A	A	A	H	A	H	H	A	H	A	H	H	A	A	H	A	A	H	A	A	A	A	A	H	A	A	A	B	A	B	H	A	A	A	A	A	A	B	H	A	H	H	A	H	A	H	A	A	B	A	A	A	H	B	H	A	A	H	A	B	H	H	A	H	A	A	H	A	A	H	A	A	H	A	H	A	H	A	A	A	A	H	H	A	A	A	B	A	B	H	H	A	H	H	H	A	A	H	A	H	A	A	A	B	H	B	B	H	A	H	H	A	A	B	A	A	H	A	H	A	A	A	H	A	H	A	B	A	A	H	A	A	H	A	A	A	H	H	H	A	A	A	A	A	A	A	H	A	A	;
35	A	H	H	H	H	A	A	H	H	B	A	A	A	A	A	A	A	A	H	H	A	A	A	A	H	H	B	A	A	H	H	A	H	H	A	H	H	B	A	A	A	A	H	A	H	H	A	B	A	H	A	H	A	A	A	H	H	A	B	A	A	B	A	A	A	H	H	H	B	H	A	A	H	A	H	H	A	H	H	B	A	A	A	A	A	A	A	A	A	H	H	H	B	A	A	H	H	B	A	H	A	A	B	H	A	A	H	A	B	A	A	H	B	H	H	A	A	H	A	H	H	H	H	A	H	H	A	A	A	B	H	A	B	A	A	A	A	A	B	H	H	B	A	H	B	A	H	A	A	A	A	A	H	H	B	A	H	H	A	B	H	H	H	A	A	H	A	A	H	A	A	A	A	A	A	H	A	A	H	A	B	A	A	B	A	H	H	A	H	H	A	H	A	A	A	A	A	A	A	H	B	H	A	A	H	B	A	H	H	A	H	H	H	A	A	H	H	A	A	B	A	A	H	A	A	H	A	H	A	H	H	A	H	H	A	A	H	H	A	H	H	H	A	A	A	A	A	A	H	A	A	A	A	A	A	H	H	A	A	A	H	H	A	A	A	A	A	A	A	A	H	A	A	H	A	B	H	H	A	H	A	B	H	A	A	A	A	A	A	B	A	A	A	H	A	H	A	A	A	B	;
36	A	H	H	B	A	H	A	A	A	A	A	A	H	A	H	A	H	H	H	B	A	H	A	A	H	A	B	A	B	A	H	A	A	B	H	H	H	H	B	A	A	H	H	A	A	H	H	H	H	A	H	A	A	H	A	A	A	A	A	A	A	B	H	H	A	H	H	H	H	A	A	H	H	H	H	A	A	H	H	H	A	A	A	H	A	A	A	A	A	A	B	A	H	A	A	A	A	A	A	A	H	H	A	H	H	A	B	A	A	A	H	A	H	H	B	H	H	A	A	A	A	A	H	H	H	B	A	A	A	A	A	H	A	A	H	H	A	A	B	B	A	A	H	H	H	H	A	A	H	A	H	A	A	A	A	A	A	H	H	B	H	A	A	A	H	H	A	A	H	A	A	A	H	A	A	H	H	A	H	A	A	B	A	A	A	H	H	B	A	H	A	A	A	A	A	A	H	A	A	B	A	H	H	A	H	A	A	A	A	H	H	B	A	A	A	H	H	A	A	B	A	A	A	H	H	H	A	B	A	A	A	H	B	B	A	H	A	H	A	H	A	B	A	A	A	H	H	A	H	H	A	A	A	H	A	A	H	A	H	A	A	H	A	H	A	A	A	A	H	A	H	H	B	A	A	H	A	A	A	H	H	H	H	H	A	A	A	A	B	A	A	A	A	H	A	H	A	A	A	A	;
37	H	A	B	A	A	A	A	H	A	H	H	H	B	H	A	H	H	H	H	H	A	H	H	B	H	A	A	A	A	A	A	A	A	A	H	H	H	A	A	H	A	A	A	A	B	H	H	A	H	A	H	H	H	B	H	H	H	A	A	H	H	A	A	A	A	A	H	H	H	A	A	A	A	H	A	A	A	A	A	A	A	A	H	A	A	A	A	H	A	B	H	A	B	A	A	A	H	H	H	B	H	H	H	A	A	A	H	A	A	A	A	H	B	H	H	A	A	H	A	A	H	A	A	A	H	H	A	A	A	H	A	A	B	H	H	H	A	A	A	B	H	H	A	H	H	A	A	A	H	H	H	A	H	A	H	A	H	A	H	A	H	H	H	A	A	H	A	A	H	A	A	A	A	A	A	A	H	A	A	A	H	H	A	H	A	H	A	A	A	A	A	A	B	A	A	A	B	A	A	A	A	A	A	H	H	H	A	A	A	A	H	H	H	A	A	H	H	A	H	H	A	A	A	B	A	H	H	H	A	A	H	H	A	A	A	A	H	H	A	H	A	A	A	A	A	A	H	H	H	A	A	H	A	A	H	A	H	B	A	H	A	A	A	A	B	A	A	H	A	A	H	H	H	H	A	A	A	H	A	A	A	H	H	H	A	A	A	A	H	A	H	A	A	A	A	A	A	H	A	A	;
38	A	A	B	H	H	H	A	A	A	A	H	H	A	A	A	H	H	B	H	H	A	A	A	A	H	A	H	H	H	H	H	A	H	B	B	H	H	A	B	A	A	H	H	A	A	H	B	A	A	B	A	A	B	A	A	H	A	A	A	H	A	H	H	A	H	A	H	A	B	A	A	H	H	A	H	H	A	A	H	B	A	H	A	A	H	H	A	H	A	H	H	H	B	A	B	A	H	B	A	A	H	H	H	H	H	A	B	A	H	A	A	B	B	H	H	A	A	H	A	H	H	H	H	A	A	A	A	A	A	A	A	B	H	H	A	A	A	H	A	H	H	A	H	B	A	A	H	A	H	H	H	A	A	H	H	H	H	H	H	H	B	H	H	A	H	H	A	A	A	A	A	A	A	A	H	H	A	A	A	A	A	H	A	H	A	H	A	A	H	B	H	A	B	A	B	A	A	A	A	B	H	H	H	B	B	A	A	A	H	A	A	H	A	H	A	A	A	B	A	H	A	A	H	A	H	H	A	H	A	H	H	H	A	A	A	A	H	H	A	H	A	A	H	A	A	A	A	H	H	A	A	A	A	H	H	A	B	A	A	A	A	H	A	H	A	A	A	A	A	B	B	B	H	H	A	A	A	H	H	H	H	H	A	A	A	A	A	A	H	A	A	A	A	A	A	A	A	B	H	B	;
39	H	A	H	A	A	H	A	A	A	A	A	A	A	A	A	H	A	H	A	H	A	A	H	H	A	H	A	A	H	B	A	A	H	B	B	B	B	A	A	A	A	H	A	A	H	H	A	H	A	B	H	H	B	A	A	H	A	A	A	A	B	A	A	A	H	A	A	A	H	A	A	A	A	A	A	H	A	A	A	A	H	A	A	A	A	B	B	A	A	A	H	H	B	A	A	A	A	H	A	H	A	H	H	B	A	A	H	A	B	A	A	H	A	H	A	H	A	H	A	A	A	A	B	A	H	H	A	A	A	H	A	H	B	H	H	H	H	B	A	H	B	H	B	B	A	A	A	A	A	H	A	H	A	A	A	A	A	A	H	H	H	B	A	A	A	H	A	A	B	A	A	H	A	A	H	B	A	A	H	A	A	A	A	B	A	H	A	A	A	A	A	A	H	A	A	H	A	A	A	B	H	H	A	A	H	A	A	H	H	A	H	H	A	A	A	A	A	B	A	H	H	A	H	A	A	A	A	A	A	H	H	H	A	B	A	H	H	H	A	A	A	A	A	A	H	H	B	A	H	A	A	A	A	A	H	A	A	H	A	A	A	H	A	A	H	A	H	A	A	A	A	A	A	H	A	A	H	A	A	B	H	H	H	A	A	A	A	A	H	H	A	A	H	A	A	A	A	A	A	A	;
40	A	B	A	A	H	A	A	A	H	H	A	B	H	A	A	B	H	H	H	H	A	A	B	A	A	A	B	B	A	H	A	H	H	A	H	H	A	B	H	A	A	A	A	A	A	H	H	A	H	A	A	H	H	A	H	A	H	A	A	A	A	A	H	A	A	A	H	H	A	A	H	A	B	A	A	H	H	A	A	H	A	H	A	H	H	B	H	A	A	H	B	H	A	A	A	H	A	H	H	H	A	H	A	A	A	A	A	A	H	H	A	B	H	B	B	A	H	B	A	H	H	A	H	A	A	A	A	A	A	H	H	H	H	A	H	A	H	A	B	B	H	H	A	H	A	A	A	A	A	H	A	A	A	H	H	A	A	A	A	A	B	H	A	A	A	B	A	A	H	H	A	H	A	A	H	A	A	H	H	A	H	A	A	A	A	A	H	A	H	H	A	A	B	H	H	A	H	A	A	B	A	A	A	H	A	H	A	A	H	A	H	H	B	A	A	H	A	H	H	A	B	A	A	H	B	H	A	A	H	A	A	H	H	A	H	A	A	H	A	B	A	A	A	A	A	H	H	A	H	A	A	A	A	A	B	H	H	A	A	A	H	B	A	H	A	H	A	A	A	H	H	A	A	H	H	H	A	H	A	B	B	H	H	H	A	A	A	A	A	H	H	A	A	A	A	B	A	B	A	H	;
41	B	H	H	A	H	H	A	A	H	A	H	A	H	A	H	H	H	H	A	A	A	A	H	A	A	A	B	H	A	H	H	H	A	H	A	A	H	A	A	H	A	H	A	A	B	H	H	A	H	H	H	A	H	H	H	A	A	A	A	A	A	H	A	A	H	A	A	A	B	A	A	A	B	H	A	H	A	A	A	H	A	A	A	A	H	H	H	A	H	H	B	H	H	A	A	H	A	B	H	H	A	A	H	A	H	A	B	A	H	H	A	B	H	H	A	A	A	B	H	H	A	B	H	H	A	A	A	H	A	H	A	H	A	H	H	A	A	H	B	B	A	H	H	H	H	A	A	A	A	A	H	A	H	A	B	A	H	A	A	A	A	A	A	A	A	B	H	A	A	A	A	H	A	A	A	A	H	A	H	A	H	A	A	B	H	A	H	H	A	H	A	H	A	A	H	A	H	A	H	A	H	H	A	H	B	A	A	A	H	A	A	H	B	A	A	A	A	A	A	H	A	A	A	A	A	A	A	H	A	A	A	B	A	H	A	A	A	H	A	H	H	H	A	A	H	H	H	H	A	A	A	A	B	A	A	A	H	H	A	B	H	A	A	A	H	A	H	H	A	H	A	A	A	H	A	A	H	A	A	H	H	A	A	H	A	A	A	A	H	A	A	H	A	A	A	A	A	B	A	H	;
42	A	H	H	H	H	A	A	H	H	H	H	A	H	H	A	H	H	H	H	H	A	H	H	H	A	A	B	H	B	A	A	A	H	H	B	H	H	A	B	A	A	H	H	A	H	H	H	H	A	H	A	A	A	A	H	A	H	A	A	H	H	H	H	A	B	A	H	A	B	A	A	A	A	H	H	H	H	H	A	B	A	A	A	B	H	A	A	A	A	A	A	H	B	A	B	A	H	H	A	H	A	H	A	H	A	H	A	A	B	B	A	H	B	B	A	A	A	A	A	H	H	A	A	A	H	B	A	A	A	A	H	H	A	H	H	H	A	A	A	A	H	A	H	A	H	A	A	A	H	H	H	H	A	A	H	A	A	A	H	H	A	A	A	A	H	H	A	H	A	A	A	A	A	A	H	B	H	A	H	B	A	A	A	H	A	A	B	H	A	A	H	A	A	A	A	B	A	H	A	B	A	A	A	B	A	H	H	A	H	H	A	A	A	H	A	H	A	B	A	B	H	A	A	H	H	H	H	H	A	A	H	A	B	B	A	H	A	A	H	H	H	A	A	H	A	A	H	A	A	A	A	A	H	A	H	A	H	A	A	A	H	H	A	A	H	A	A	A	A	H	B	A	H	A	H	H	A	A	A	A	A	A	B	H	H	A	A	A	H	A	H	H	A	A	H	H	A	H	B	H	;
43	H	H	A	A	H	A	A	A	H	H	A	H	A	A	B	A	H	B	H	A	H	A	H	A	A	H	H	H	A	A	A	A	B	H	B	H	H	H	H	B	A	H	A	A	A	H	A	H	A	A	A	H	H	B	B	A	H	H	A	A	A	H	H	A	H	A	B	B	A	A	H	A	H	A	H	B	A	A	A	A	A	H	A	H	A	H	H	H	A	H	H	B	H	A	H	H	A	H	A	H	A	A	H	A	H	H	A	H	H	B	A	H	H	B	A	H	H	H	A	A	A	A	A	A	H	H	A	A	A	H	B	H	B	H	H	A	A	B	A	H	H	H	H	A	H	A	B	A	H	A	A	A	A	H	H	H	H	A	A	B	A	B	A	A	A	H	A	A	H	A	A	A	A	A	A	A	A	A	H	H	A	A	A	A	A	A	A	A	A	H	A	A	A	A	A	H	H	A	H	B	A	H	A	H	A	H	A	A	H	H	B	H	H	A	A	H	A	A	A	H	A	H	A	H	A	B	A	B	A	A	H	H	H	H	A	A	H	H	A	H	A	H	A	A	H	A	A	H	H	A	H	A	A	A	A	H	H	A	A	A	A	B	A	B	A	A	A	H	H	B	H	A	A	H	A	A	A	A	A	A	H	H	A	A	A	A	H	A	H	A	A	A	A	A	A	A	A	H	H	A	;
44	H	B	A	B	H	H	A	A	H	H	H	A	A	A	H	H	H	H	A	H	A	H	H	A	H	A	A	A	H	A	A	A	B	A	H	H	H	H	H	A	A	H	B	A	H	H	B	A	H	A	A	A	A	H	B	B	A	A	A	A	A	H	A	A	H	A	H	A	H	A	A	A	A	A	A	A	B	A	A	A	A	A	A	H	H	H	A	A	A	A	B	H	H	A	H	A	A	A	A	A	H	H	H	H	A	A	A	A	A	A	A	H	H	H	A	H	A	B	H	A	A	H	A	A	H	B	A	A	H	H	A	A	H	H	H	A	H	A	H	H	H	H	A	H	B	A	B	H	A	H	B	A	A	H	A	H	A	H	H	A	A	B	A	A	A	A	A	A	H	H	A	A	A	A	A	H	A	A	H	A	A	H	A	H	H	A	H	H	A	H	H	A	A	A	H	A	A	A	A	B	A	B	A	B	A	H	A	H	B	H	H	H	A	H	A	H	H	H	A	H	H	A	A	H	A	H	A	B	A	A	H	H	A	B	A	A	A	H	H	H	H	H	H	H	A	A	A	A	B	A	A	A	H	A	A	A	H	H	A	H	A	A	A	H	B	A	A	A	A	H	A	A	A	A	H	H	A	A	A	B	H	A	A	A	A	A	A	A	H	A	A	A	A	H	A	A	A	H	H	A	;
45	B	H	B	H	A	A	A	H	H	B	A	H	A	A	H	H	A	H	B	A	A	A	H	A	A	A	H	A	B	A	B	A	H	H	A	B	A	A	A	A	A	H	A	A	H	H	H	H	H	A	H	A	A	H	H	H	A	A	H	A	A	A	A	A	A	A	H	A	H	A	H	H	H	A	A	A	A	A	H	B	A	A	A	B	A	H	A	A	A	A	A	B	H	A	H	A	A	A	H	H	B	B	H	B	A	A	A	A	H	A	A	H	B	B	A	H	H	B	A	H	H	H	H	A	H	A	H	A	A	H	H	A	A	H	H	A	A	A	H	H	A	H	H	A	A	H	A	A	A	A	B	A	A	A	A	A	A	A	A	A	H	A	A	A	H	B	A	A	H	A	A	A	A	A	B	H	H	A	B	A	H	H	A	H	H	H	A	A	A	H	A	A	B	A	B	A	B	A	A	A	A	H	A	H	B	H	A	A	A	A	A	A	H	A	A	H	H	H	H	H	B	H	H	A	A	B	A	H	H	H	H	H	H	H	A	A	A	B	H	H	H	A	A	A	A	A	A	A	H	A	A	A	A	H	A	A	H	B	A	A	A	H	A	H	A	H	A	A	A	H	A	A	A	A	A	H	A	A	A	H	A	H	A	H	A	A	A	A	H	A	A	A	H	H	A	A	A	H	A	A	;
46	H	H	H	A	A	H	A	H	H	B	A	H	A	A	A	H	A	H	H	A	A	A	H	A	B	A	A	B	A	A	A	A	A	B	H	H	B	H	H	H	A	A	A	A	H	H	H	H	A	A	A	A	H	H	H	A	A	A	A	A	A	H	H	A	A	A	A	A	B	A	A	A	H	A	H	H	A	A	A	B	A	H	A	A	A	A	H	A	A	A	A	A	A	A	H	H	A	A	A	A	H	A	H	A	H	A	A	A	H	B	A	H	A	B	A	A	A	H	A	A	A	A	H	H	A	H	A	A	A	H	H	A	A	A	A	A	A	A	A	H	A	H	H	H	H	H	A	A	B	H	H	H	H	A	H	B	A	A	A	B	H	A	A	A	H	A	A	A	B	A	A	A	A	A	A	A	B	H	H	A	A	A	A	B	H	A	A	A	A	H	H	A	B	A	A	A	B	A	A	H	A	A	A	H	A	H	A	A	B	A	B	A	H	H	A	B	H	A	A	B	H	A	A	H	A	A	A	A	A	A	A	B	H	A	A	A	B	B	A	A	A	B	H	A	A	A	B	H	H	A	H	A	A	A	H	A	H	H	A	A	A	B	A	H	A	A	A	H	A	A	H	A	A	A	B	H	H	A	A	H	A	A	H	A	A	A	A	A	A	A	H	H	A	A	A	A	H	A	H	H	;
47	A	H	A	H	A	A	A	A	A	H	A	B	A	A	A	A	A	H	A	A	A	A	A	H	A	A	B	H	H	A	A	B	A	H	A	H	A	H	A	A	A	B	B	H	H	H	A	B	A	H	H	A	A	H	H	A	H	A	A	A	A	H	H	H	A	A	B	A	H	A	A	A	A	A	A	H	A	H	A	H	A	H	A	A	H	A	A	H	A	H	H	H	B	A	H	A	H	A	H	H	H	B	B	B	A	A	H	A	A	B	A	A	A	H	H	H	A	B	A	A	A	A	H	A	H	A	A	A	A	H	H	A	B	H	B	H	A	H	A	H	B	B	A	A	B	A	B	A	H	B	A	A	A	A	A	A	A	B	A	H	A	H	A	A	A	A	A	A	H	A	A	H	A	H	H	H	H	A	H	A	H	A	A	B	A	A	H	A	A	A	A	A	H	H	H	H	A	A	A	B	A	A	A	B	H	A	A	A	H	A	H	A	H	A	A	H	H	B	A	H	H	A	A	H	B	H	H	A	A	A	H	H	A	A	A	B	A	H	A	A	B	A	A	A	A	H	B	H	H	A	A	A	H	A	A	A	H	A	A	A	A	H	A	H	A	A	H	B	H	H	H	H	A	A	A	A	A	A	A	B	A	A	H	A	A	A	A	A	A	A	A	A	A	A	A	H	H	A	A	A	;
48	H	H	A	A	A	A	H	A	H	B	A	A	A	A	A	H	H	A	A	H	A	A	H	H	A	A	H	B	H	A	H	A	H	A	H	H	H	H	A	A	A	H	B	A	H	B	B	H	A	A	H	A	A	H	H	A	H	A	A	H	H	H	A	A	H	A	A	H	B	A	A	A	H	A	H	A	A	A	H	A	A	H	A	H	A	A	A	H	A	A	H	A	H	H	H	A	H	H	A	A	A	A	A	A	A	A	H	A	H	H	A	A	A	H	A	A	A	A	A	A	A	H	H	A	A	A	H	H	A	H	H	A	H	A	A	A	H	H	A	H	H	A	A	H	A	B	A	A	H	A	H	H	H	H	H	A	A	A	A	H	H	A	A	A	A	B	A	A	H	A	A	H	A	A	A	A	A	H	A	A	H	A	A	H	H	A	H	A	A	H	A	A	H	A	H	A	B	A	A	H	A	H	A	H	H	H	H	H	H	A	H	A	H	A	H	H	B	B	A	H	H	A	A	A	B	A	A	A	A	H	A	H	A	B	A	A	H	H	A	B	A	H	H	A	A	H	A	H	H	H	H	A	A	A	B	A	H	H	A	A	H	H	A	H	H	A	H	A	A	H	H	A	A	H	A	B	A	H	A	B	A	A	H	A	A	H	A	A	A	A	H	A	A	H	A	A	H	B	A	A	;
49	H	H	A	H	A	B	A	H	H	A	H	A	A	A	H	H	B	A	A	H	H	A	A	H	H	A	H	H	B	H	H	A	A	H	H	H	A	H	A	A	A	H	H	A	H	H	A	H	A	A	H	A	A	A	A	A	B	A	A	A	A	H	A	A	H	H	B	A	B	A	H	A	B	A	A	H	H	A	A	H	A	H	A	A	A	H	H	A	A	B	A	H	H	B	H	A	A	A	A	A	A	A	A	A	A	H	B	A	A	H	A	B	B	A	H	A	H	B	A	B	A	B	A	A	H	A	A	A	A	H	A	A	H	A	A	A	A	A	A	H	H	B	H	A	H	H	A	H	A	H	A	A	A	A	A	H	H	A	H	H	B	B	H	A	H	B	A	A	H	A	H	A	H	A	A	A	H	A	B	H	A	B	A	A	H	A	A	B	A	H	A	A	A	A	H	H	A	H	A	H	A	A	A	H	B	A	A	H	H	B	A	H	A	H	H	B	H	H	H	A	H	A	H	H	A	H	A	A	A	H	A	A	H	H	H	H	H	H	B	H	A	H	A	A	A	A	B	A	H	A	A	H	A	A	A	A	H	H	A	H	H	H	A	H	H	A	A	A	A	H	H	A	A	A	A	H	A	A	A	H	A	H	H	A	A	A	H	A	H	A	A	A	A	H	A	A	A	H	A	B	;
50	A	A	H	A	A	H	B	A	H	H	H	H	A	A	A	A	H	H	A	B	A	A	A	H	H	A	A	H	H	A	H	H	H	H	A	A	H	H	A	H	H	H	A	A	B	B	A	H	A	B	A	A	A	H	A	B	H	A	A	A	H	A	H	A	A	H	H	A	B	A	H	A	A	A	A	A	H	H	A	H	A	H	A	A	H	H	H	H	A	A	A	A	A	A	H	A	H	A	A	H	H	H	A	H	A	A	H	A	H	H	A	A	H	H	H	H	H	A	A	A	A	B	H	A	B	H	A	A	A	H	B	A	H	A	A	H	A	H	H	A	A	A	A	A	H	B	A	A	H	H	A	A	A	H	B	H	A	H	A	H	B	B	A	A	A	H	A	H	H	A	A	H	A	H	A	H	A	A	A	H	A	A	A	A	H	A	A	A	H	H	B	A	A	H	H	A	H	A	A	A	A	A	A	H	H	H	A	A	B	A	B	B	A	A	A	H	A	H	A	H	B	A	A	A	H	H	A	H	A	H	H	A	H	H	A	A	H	H	A	H	A	H	H	H	A	H	H	A	H	A	A	A	A	A	A	A	H	H	A	H	A	A	A	A	H	A	A	A	A	H	H	A	A	A	A	A	H	A	A	A	H	A	A	H	A	H	H	A	B	A	A	A	A	H	A	B	A	B	A	B	;
51	H	H	H	A	A	H	A	A	A	H	A	A	H	B	H	B	H	H	A	A	A	A	H	A	H	A	B	A	H	A	H	A	A	A	H	A	H	A	A	A	A	A	A	H	A	B	A	H	H	H	H	A	A	A	H	A	H	A	A	A	H	H	A	A	A	A	H	H	B	A	A	H	H	A	A	A	A	A	H	H	B	H	A	A	H	A	B	H	A	H	A	H	H	A	B	A	A	H	H	H	A	H	H	H	A	A	A	A	H	H	A	H	A	H	H	A	A	H	H	A	A	H	H	A	A	A	H	A	A	A	H	A	H	H	A	H	A	A	A	H	A	H	A	H	H	A	A	A	H	B	B	H	H	A	A	H	A	A	A	H	A	H	H	H	A	H	A	A	H	A	A	A	H	A	H	A	A	A	H	A	H	H	A	H	A	A	H	A	B	A	B	A	H	A	A	H	H	A	A	B	A	A	A	H	H	A	A	A	H	A	H	B	H	A	A	H	A	H	A	H	B	A	H	A	H	H	A	H	A	A	A	A	A	A	A	H	H	H	A	A	A	B	A	A	A	A	H	A	H	A	A	H	A	A	H	A	A	A	A	H	A	H	A	A	A	A	A	A	A	B	H	H	H	A	A	H	H	A	A	A	A	A	H	H	A	A	A	A	H	H	H	A	H	H	A	B	A	H	A	A	;
52	H	H	A	A	B	A	A	A	A	H	H	A	A	A	H	H	H	B	H	A	H	A	B	A	A	A	B	A	H	A	A	A	H	H	A	H	A	H	B	A	A	H	A	A	H	B	H	H	H	H	H	H	B	A	H	A	A	A	H	A	A	H	A	A	B	A	H	A	A	A	A	A	A	A	H	A	H	H	B	B	A	H	H	H	A	A	A	H	A	A	H	A	H	A	B	A	A	H	A	H	A	H	A	H	A	A	A	A	H	B	A	A	A	A	A	A	H	B	A	A	A	A	H	A	H	H	A	A	A	B	A	H	A	H	H	A	A	H	A	B	H	A	A	B	A	A	H	H	A	B	A	A	A	A	A	A	A	H	H	H	H	A	A	H	A	B	A	A	A	A	A	A	H	A	A	A	H	H	B	H	H	H	A	A	H	A	A	A	A	B	H	A	H	H	A	A	A	A	H	B	H	A	A	A	A	H	H	A	H	H	H	H	H	A	A	A	A	A	A	A	B	A	H	A	A	A	A	A	A	H	A	H	A	H	A	H	A	A	A	A	A	B	A	H	A	A	A	A	B	A	H	A	A	H	H	A	H	H	A	A	A	H	A	A	A	A	A	A	A	H	H	H	H	H	H	H	A	H	A	H	H	H	H	B	A	A	A	A	H	H	A	A	A	A	A	H	A	A	H	H	;
